"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestHash","1","TestHash","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/password/TestHash","TestHash"
"Test cases for TestUserRepository","9","TestUserRepository","","Sun Jan 11 23:08:30 UTC 2026","passed","Sun Jan 11 23:08:30 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/user/TestUserRepository","TestUserRepository"
"Test cases for TestEqual","0","TestEqual","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/password/TestEqual","TestEqual"
"Test cases for TestAuthSuite","174","TestAuthSuite","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/auth/TestAuthSuite","TestAuthSuite"
"Test cases for TestCartRepository","4","TestCartRepository","","Sun Jan 11 23:08:30 UTC 2026","passed","Sun Jan 11 23:08:30 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/cart/TestCartRepository","TestCartRepository"
"Test cases for TestSetSession","1","TestSetSession","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestSetSession","TestSetSession"
"Test cases for TestOrderRepository","5","TestOrderRepository","","Sun Jan 11 23:08:30 UTC 2026","passed","Sun Jan 11 23:08:30 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/order/TestOrderRepository","TestOrderRepository"
"Test cases for TestOrderSuite","4","TestOrderSuite","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/order/TestOrderSuite","TestOrderSuite"
"Test cases for TestGetRole","1","TestGetRole","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetRole","TestGetRole"
"Test cases for TestBadRequest","1","TestBadRequest","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestBadRequest","TestBadRequest"
"Test cases for TestItemRepository","6","TestItemRepository","","Sun Jan 11 23:08:30 UTC 2026","passed","Sun Jan 11 23:08:30 UTC 2026","","Unit","github.com/b0pof/ppo/internal/repository/item/TestItemRepository","TestItemRepository"
"Test cases for TestOK","0","TestOK","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestOK","TestOK"
"Test cases for TestUserSuite","271","TestUserSuite","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/user/TestUserSuite","TestUserSuite"
"Test cases for TestCartSuite","0","TestCartSuite","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/cart/TestCartSuite","TestCartSuite"
"Test cases for TestForbidden","1","TestForbidden","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestForbidden","TestForbidden"
"Test cases for TestGetUserID","1","TestGetUserID","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetUserID","TestGetUserID"
"Test cases for TestSuite","543","TestSuite","","Sun Jan 11 23:09:51 UTC 2026","passed","Sun Jan 11 23:09:52 UTC 2026","","Integration","github.com/b0pof/ppo/tests/integration/usecase/TestSuite","TestSuite"
"","128","TestSuite","","Sun Jan 11 23:11:15 UTC 2026","passed","Sun Jan 11 23:11:15 UTC 2026","","E2E","",""
"Test cases for TestGetSession","1","TestGetSession","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestGetSession","TestGetSession"
"Test cases for TestItemSuite","7","TestItemSuite","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/usecase/item/TestItemSuite","TestItemSuite"
"Test cases for TestUnauthorized","1","TestUnauthorized","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestUnauthorized","TestUnauthorized"
"Test cases for TestSuite","137","TestSuite","","Sun Jan 11 23:09:51 UTC 2026","passed","Sun Jan 11 23:09:51 UTC 2026","","Integration","github.com/b0pof/ppo/tests/integration/repository/TestSuite","TestSuite"
"Test cases for TestWithRole","1","TestWithRole","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithRole","TestWithRole"
"Test cases for TestWithUserID","1","TestWithUserID","","Sun Jan 11 23:08:31 UTC 2026","passed","Sun Jan 11 23:08:31 UTC 2026","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithUserID","TestWithUserID"
