"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","745","TestSuite","","2025-11-26","passed","2025-11-26","","Integration","",""
"Test cases for TestItemRepository","7","TestItemRepository","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/repository/item/TestItemRepository","TestItemRepository"
"Test cases for TestForbidden","1","TestForbidden","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestForbidden","TestForbidden"
"Test cases for TestHash","88","TestHash","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/password/TestHash","TestHash"
"Test cases for TestGetUserID","0","TestGetUserID","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetUserID","TestGetUserID"
"Test cases for TestUnauthorized","1","TestUnauthorized","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestUnauthorized","TestUnauthorized"
"Test cases for TestBadRequest","1","TestBadRequest","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestBadRequest","TestBadRequest"
"Test cases for TestOrderRepository","4","TestOrderRepository","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/repository/order/TestOrderRepository","TestOrderRepository"
"Test cases for TestGetSession","0","TestGetSession","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestGetSession","TestGetSession"
"Test cases for TestSetSession","0","TestSetSession","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/cookie/TestSetSession","TestSetSession"
"Test cases for TestEqual","88","TestEqual","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/password/TestEqual","TestEqual"
"Test cases for TestGetRole","0","TestGetRole","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/auth/TestGetRole","TestGetRole"
"Test cases for TestOK","1","TestOK","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/http/response/TestOK","TestOK"
"Test cases for TestCartRepository","2","TestCartRepository","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/repository/cart/TestCartRepository","TestCartRepository"
"Test cases for TestWithRole","0","TestWithRole","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithRole","TestWithRole"
"Test cases for TestUserRepository","14","TestUserRepository","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/repository/user/TestUserRepository","TestUserRepository"
"Test cases for TestItemSuite","2","TestItemSuite","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/usecase/item/TestItemSuite","TestItemSuite"
"Test cases for TestUserSuite","307","TestUserSuite","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/usecase/user/TestUserSuite","TestUserSuite"
"Test cases for TestAuthSuite","157","TestAuthSuite","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/usecase/auth/TestAuthSuite","TestAuthSuite"
"Test cases for TestWithUserID","0","TestWithUserID","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/util/auth/TestWithUserID","TestWithUserID"
"Test cases for TestOrderSuite","2","TestOrderSuite","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/usecase/order/TestOrderSuite","TestOrderSuite"
"Test cases for TestCartSuite","2","TestCartSuite","","2025-11-26","passed","2025-11-26","","Unit","github.com/b0pof/ppo/internal/usecase/cart/TestCartSuite","TestCartSuite"
